Year,State Name,Dist Name,ANNUAL RAINFALL (Millimeters)
1969,Chhattisgarh,Raigarh,1239
1970,Chhattisgarh,Raigarh,1634.6
1971,Chhattisgarh,Raigarh,1814.8
1972,Chhattisgarh,Raigarh,1189.9
1973,Chhattisgarh,Raigarh,1918.2
1974,Chhattisgarh,Raigarh,1130.8
1975,Chhattisgarh,Raigarh,1518.3
1976,Chhattisgarh,Raigarh,1052.9
1977,Chhattisgarh,Raigarh,1564.3
1978,Chhattisgarh,Raigarh,1367.8
1979,Chhattisgarh,Raigarh,762.1
1980,Chhattisgarh,Raigarh,1317
1981,Chhattisgarh,Raigarh,1226.3
1982,Chhattisgarh,Raigarh,1285.6
1983,Chhattisgarh,Raigarh,1557
1984,Chhattisgarh,Raigarh,1366.6
1985,Chhattisgarh,Raigarh,1421.9
1986,Chhattisgarh,Raigarh,1372.2
1987,Chhattisgarh,Raigarh,1126.1
1988,Chhattisgarh,Raigarh,1335.1
1989,Chhattisgarh,Raigarh,1133
1990,Chhattisgarh,Raigarh,1500.6
1991,Chhattisgarh,Raigarh,1243.8
1992,Chhattisgarh,Raigarh,1018.9
1993,Chhattisgarh,Raigarh,1168.2
1994,Chhattisgarh,Raigarh,1763.9
1995,Chhattisgarh,Raigarh,976.2
1996,Chhattisgarh,Raigarh,751.9
1997,Chhattisgarh,Raigarh,1387.8
1998,Chhattisgarh,Raigarh,1191.9
1999,Chhattisgarh,Raigarh,1035.8
2002,Chhattisgarh,Raigarh,-1
2004,Chhattisgarh,Raigarh,1049.8
2005,Chhattisgarh,Raigarh,1246.8
2006,Chhattisgarh,Raigarh,1089.1
2007,Chhattisgarh,Raigarh,1291.8
2008,Chhattisgarh,Raigarh,1513.9
2009,Chhattisgarh,Raigarh,978.2
2010,Chhattisgarh,Raigarh,988.3
2011,Chhattisgarh,Raigarh,1288.5
2012,Chhattisgarh,Raigarh,1237.3
2013,Chhattisgarh,Raigarh,1221.3
2014,Chhattisgarh,Raigarh,1227.8
2015,Chhattisgarh,Raigarh,1192.1
1966,Chhattisgarh,Surguja,907.3
1967,Chhattisgarh,Surguja,1287.2
1968,Chhattisgarh,Surguja,1210.1
1969,Chhattisgarh,Surguja,1158.3
1970,Chhattisgarh,Surguja,-1
1971,Chhattisgarh,Surguja,1970.4
1972,Chhattisgarh,Surguja,1374.2
1973,Chhattisgarh,Surguja,1435
1974,Chhattisgarh,Surguja,986
1975,Chhattisgarh,Surguja,1562.9
1976,Chhattisgarh,Surguja,1052.5
1977,Chhattisgarh,Surguja,1511.6
1978,Chhattisgarh,Surguja,1282.2
1979,Chhattisgarh,Surguja,691.4
1980,Chhattisgarh,Surguja,1687.6
1981,Chhattisgarh,Surguja,1020.1
1982,Chhattisgarh,Surguja,1129.6
1983,Chhattisgarh,Surguja,1120.5
1984,Chhattisgarh,Surguja,1417.7
1985,Chhattisgarh,Surguja,1328.7
1986,Chhattisgarh,Surguja,1338.9
1987,Chhattisgarh,Surguja,1426
1988,Chhattisgarh,Surguja,1130.3
1989,Chhattisgarh,Surguja,1157.9
1990,Chhattisgarh,Surguja,1423.7
1991,Chhattisgarh,Surguja,1414.7
1992,Chhattisgarh,Surguja,1040.7
1993,Chhattisgarh,Surguja,1184.7
1994,Chhattisgarh,Surguja,1896.6
1995,Chhattisgarh,Surguja,1301.6
1996,Chhattisgarh,Surguja,1205.9
1997,Chhattisgarh,Surguja,1376.4
1998,Chhattisgarh,Surguja,1483.3
1999,Chhattisgarh,Surguja,1503.4
2002,Chhattisgarh,Surguja,-1
2004,Chhattisgarh,Surguja,971.6
2005,Chhattisgarh,Surguja,1120.1
2006,Chhattisgarh,Surguja,1186.3
2007,Chhattisgarh,Surguja,1153.4
2008,Chhattisgarh,Surguja,1119.6
2009,Chhattisgarh,Surguja,564.1
2010,Chhattisgarh,Surguja,596.7
2011,Chhattisgarh,Surguja,1383.6
2012,Chhattisgarh,Surguja,1122.5
2013,Chhattisgarh,Surguja,809
2014,Chhattisgarh,Surguja,840
2015,Chhattisgarh,Surguja,989.8
1966,Madhya Pradesh,Jabalpur,868.3
1967,Madhya Pradesh,Jabalpur,1475
1968,Madhya Pradesh,Jabalpur,943.3
1969,Madhya Pradesh,Jabalpur,1213.4
1970,Madhya Pradesh,Jabalpur,1456.5
1971,Madhya Pradesh,Jabalpur,2038.3
1972,Madhya Pradesh,Jabalpur,1109.5
1973,Madhya Pradesh,Jabalpur,1461.1
1974,Madhya Pradesh,Jabalpur,972.5
1975,Madhya Pradesh,Jabalpur,1337.9
1976,Madhya Pradesh,Jabalpur,1063.8
1977,Madhya Pradesh,Jabalpur,1783
1978,Madhya Pradesh,Jabalpur,1439.6
1979,Madhya Pradesh,Jabalpur,671.1
1980,Madhya Pradesh,Jabalpur,1492.7
1981,Madhya Pradesh,Jabalpur,735.9
1982,Madhya Pradesh,Jabalpur,1091.1
1983,Madhya Pradesh,Jabalpur,1163.3
1984,Madhya Pradesh,Jabalpur,1099.4
1985,Madhya Pradesh,Jabalpur,1074.3
1986,Madhya Pradesh,Jabalpur,775.9
1987,Madhya Pradesh,Jabalpur,1150.6
1988,Madhya Pradesh,Jabalpur,1049.8
1989,Madhya Pradesh,Jabalpur,813.4
1990,Madhya Pradesh,Jabalpur,1475.7
1991,Madhya Pradesh,Jabalpur,919.6
1992,Madhya Pradesh,Jabalpur,1220.6
1993,Madhya Pradesh,Jabalpur,1307.9
1994,Madhya Pradesh,Jabalpur,1521.9
1995,Madhya Pradesh,Jabalpur,1123.4
1996,Madhya Pradesh,Jabalpur,987.4
1997,Madhya Pradesh,Jabalpur,1410.4
1998,Madhya Pradesh,Jabalpur,941.7
1999,Madhya Pradesh,Jabalpur,1501.5
2000,Madhya Pradesh,Jabalpur,955.2
2001,Madhya Pradesh,Jabalpur,1149.8
2002,Madhya Pradesh,Jabalpur,1110.7
2003,Madhya Pradesh,Jabalpur,1664.5
2004,Madhya Pradesh,Jabalpur,1208.7
2005,Madhya Pradesh,Jabalpur,1806.2
2006,Madhya Pradesh,Jabalpur,999.1
2007,Madhya Pradesh,Jabalpur,1033.4
2008,Madhya Pradesh,Jabalpur,1201.1
2009,Madhya Pradesh,Jabalpur,1008.1
2012,Madhya Pradesh,Jabalpur,1283.7
2013,Madhya Pradesh,Jabalpur,2109.7
2014,Madhya Pradesh,Jabalpur,968.8
2015,Madhya Pradesh,Jabalpur,1043.9
1966,Madhya Pradesh,Balaghat,1202.6
1967,Madhya Pradesh,Balaghat,1743.3
1968,Madhya Pradesh,Balaghat,1381
1969,Madhya Pradesh,Balaghat,1300.7
1970,Madhya Pradesh,Balaghat,1720.7
1971,Madhya Pradesh,Balaghat,1326.7
1972,Madhya Pradesh,Balaghat,955.5
1973,Madhya Pradesh,Balaghat,1566.3
1974,Madhya Pradesh,Balaghat,1210.3
1975,Madhya Pradesh,Balaghat,1640.5
1976,Madhya Pradesh,Balaghat,1262.3
1977,Madhya Pradesh,Balaghat,1515.7
1978,Madhya Pradesh,Balaghat,1570.1
1979,Madhya Pradesh,Balaghat,1108.9
1980,Madhya Pradesh,Balaghat,1087.3
1981,Madhya Pradesh,Balaghat,1369.3
1982,Madhya Pradesh,Balaghat,1312.3
1983,Madhya Pradesh,Balaghat,1294.9
1984,Madhya Pradesh,Balaghat,1097.3
1985,Madhya Pradesh,Balaghat,1178.4
1986,Madhya Pradesh,Balaghat,1437.8
1987,Madhya Pradesh,Balaghat,916.9
1988,Madhya Pradesh,Balaghat,1462.6
1989,Madhya Pradesh,Balaghat,1063.6
1990,Madhya Pradesh,Balaghat,2388.6
1991,Madhya Pradesh,Balaghat,905.5
1992,Madhya Pradesh,Balaghat,1056.3
1993,Madhya Pradesh,Balaghat,1439.8
1994,Madhya Pradesh,Balaghat,2297.4
1995,Madhya Pradesh,Balaghat,1542.8
1996,Madhya Pradesh,Balaghat,982.3
1997,Madhya Pradesh,Balaghat,1900.8
1998,Madhya Pradesh,Balaghat,1770.1
1999,Madhya Pradesh,Balaghat,1700.9
2000,Madhya Pradesh,Balaghat,1007.1
2001,Madhya Pradesh,Balaghat,1702.8
2002,Madhya Pradesh,Balaghat,1317.8
2003,Madhya Pradesh,Balaghat,1931.9
2004,Madhya Pradesh,Balaghat,991.3
2005,Madhya Pradesh,Balaghat,1937.9
2006,Madhya Pradesh,Balaghat,1549.1
2007,Madhya Pradesh,Balaghat,1257.1
2008,Madhya Pradesh,Balaghat,1325.4
2009,Madhya Pradesh,Balaghat,1010.6
2012,Madhya Pradesh,Balaghat,1173.6
2013,Madhya Pradesh,Balaghat,1428.8
2014,Madhya Pradesh,Balaghat,1076
2015,Madhya Pradesh,Balaghat,1004.7
1966,Madhya Pradesh,Chhindwara,690.4
1967,Madhya Pradesh,Chhindwara,1117.6
1968,Madhya Pradesh,Chhindwara,1075.1
1969,Madhya Pradesh,Chhindwara,1094.4
1970,Madhya Pradesh,Chhindwara,1533
1971,Madhya Pradesh,Chhindwara,899.6
1972,Madhya Pradesh,Chhindwara,841.2
1973,Madhya Pradesh,Chhindwara,1427.1
